model,fold,n_folds,ap,roc,pre,rec,f1,sec
xgb,1,3,0.8831748765325874,0.9931480776551199,0.7486338797814208,0.8228228228228228,0.7839771101573677,16.277277999994112
xgb,2,3,0.8890118623559032,0.9858042564861093,0.7433862433862434,0.8438438438438438,0.790436005625879,14.513390500011155
xgb,3,3,0.8830463516569478,0.9887841016837473,0.7666666666666667,0.8263473053892215,0.7953890489913544,15.289772299991455
hgb,1,5,0.9037112193131419,0.9963127118644067,0.8863636363636364,0.78,0.8297872340425532,7.741229600011138
hgb,2,5,0.8889059930126744,0.9872762711864406,0.9316770186335404,0.75,0.8310249307479224,9.620584499993129
hgb,3,5,0.8706903546181214,0.9910292372881356,0.9215686274509803,0.705,0.7988668555240793,6.791280300007202
hgb,4,5,0.8757558609950868,0.9889338983050848,0.8780487804878049,0.72,0.7912087912087912,7.847083600005135
hgb,5,5,0.8655810116166213,0.9835516949152543,0.8947368421052632,0.68,0.7727272727272727,9.44815819998621
