model,n_folds,ap_mean,ap_std,ci95_low,ci95_high
xgb,3,0.8858274695056124,0.0012662994867173206,0.8826815533075808,0.888973385703644
hgb,5,0.8809288879111291,0.015409525529115743,0.861798502207625,0.9000592736146332
et,5,0.8535601637922451,0.024412247188885676,0.823253214773584,0.8838671128109061
rf,5,0.851455479033776,0.021637268034201834,0.8245935693479602,0.8783173887195919
tf,3,0.7576897685287459,0.002714858895655756,0.7509451408440628,0.764434396213429
lr,5,0.7353763591462446,0.020808801021623417,0.7095429622114092,0.7612097560810799
dummy,5,0.016666666666666666,0.0,0.016666666666666666,0.016666666666666666
